date,paed_ed_attends
2015-03-21,60
2015-03-22,71
2015-03-23,75
2015-03-24,48
2015-03-25,61
2015-03-26,50
2015-03-27,46
2015-03-28,52
2015-03-29,57
2015-03-30,48
2015-03-31,42
2015-04-01,33
2015-04-02,50
2015-04-03,53
2015-04-04,58
2015-04-05,47
2015-04-06,52
2015-04-07,45
2015-04-08,48
2015-04-09,33
2015-04-10,47
2015-04-11,38
2015-04-12,46
2015-04-13,50
2015-04-14,43
2015-04-15,45
2015-04-16,40
2015-04-17,47
2015-04-18,40
2015-04-19,48
2015-04-20,49
2015-04-21,39
2015-04-22,39
2015-04-23,55
2015-04-24,49
2015-04-25,40
2015-04-26,48
2015-04-27,40
2015-04-28,45
2015-04-29,43
2015-04-30,57
2015-05-01,53
2015-05-02,39
2015-05-03,60
2015-05-04,61
2015-05-05,55
2015-05-06,41
2015-05-07,51
2015-05-08,48
2015-05-09,51
2015-05-10,63
2015-05-11,61
2015-05-12,50
2015-05-13,60
2015-05-14,38
2015-05-15,44
2015-05-16,48
2015-05-17,56
2015-05-18,45
2015-05-19,37
2015-05-20,32
2015-05-21,32
2015-05-22,39
2015-05-23,41
2015-05-24,67
2015-05-25,51
2015-05-26,67
2015-05-27,37
2015-05-28,30
2015-05-29,51
2015-05-30,50
2015-05-31,39
2015-06-01,45
2015-06-02,36
2015-06-03,48
2015-06-04,59
2015-06-05,56
2015-06-06,50
2015-06-07,43
2015-06-08,57
2015-06-09,50
2015-06-10,47
2015-06-11,42
2015-06-12,45
2015-06-13,60
2015-06-14,36
2015-06-15,50
2015-06-16,39
2015-06-17,53
2015-06-18,51
2015-06-19,49
2015-06-20,49
2015-06-21,46
2015-06-22,57
2015-06-23,48
2015-06-24,62
2015-06-25,67
2015-06-26,59
2015-06-27,58
2015-06-28,49
2015-06-29,51
2015-06-30,46
2015-07-01,45
2015-07-02,40
2015-07-03,57
2015-07-04,65
2015-07-05,43
2015-07-06,66
2015-07-07,46
2015-07-08,46
2015-07-09,44
2015-07-10,52
2015-07-11,49
2015-07-12,55
2015-07-13,55
2015-07-14,54
2015-07-15,59
2015-07-16,44
2015-07-17,44
2015-07-18,54
2015-07-19,50
2015-07-20,58
2015-07-21,46
2015-07-22,43
2015-07-23,32
2015-07-24,39
2015-07-25,45
2015-07-26,29
2015-07-27,40
2015-07-28,55
2015-07-29,44
2015-07-30,26
2015-07-31,45
2015-08-01,41
2015-08-02,51
2015-08-03,44
2015-08-04,48
2015-08-05,39
2015-08-06,44
2015-08-07,37
2015-08-08,40
2015-08-09,50
2015-08-10,45
2015-08-11,28
2015-08-12,38
2015-08-13,35
2015-08-14,42
2015-08-15,39
2015-08-16,34
2015-08-17,42
2015-08-18,42
2015-08-19,38
2015-08-20,51
2015-08-21,40
2015-08-22,43
2015-08-23,35
2015-08-24,41
2015-08-25,35
2015-08-26,34
2015-08-27,35
2015-08-28,37
2015-08-29,41
2015-08-30,27
2015-08-31,51
2015-09-01,37
2015-09-02,34
2015-09-03,45
2015-09-04,30
2015-09-05,38
2015-09-06,36
2015-09-07,32
2015-09-08,43
2015-09-09,51
2015-09-10,40
2015-09-11,49
2015-09-12,50
2015-09-13,46
2015-09-14,45
2015-09-15,43
2015-09-16,44
2015-09-17,34
2015-09-18,54
2015-09-19,47
2015-09-20,48
2015-09-21,65
2015-09-22,47
2015-09-23,33
2015-09-24,52
2015-09-25,42
2015-09-26,62
2015-09-27,47
2015-09-28,68
2015-09-29,55
2015-09-30,45
2015-10-01,57
2015-10-02,62
2015-10-03,48
2015-10-04,45
